Epoch,Training Loss,Validation Loss,Improvement,Datetime
1481,18.726577300578356,41.933545000851154,False,22/04/2022 23:54:40
1482,22.16577585041523,36.575502663850784,False,22/04/2022 23:54:46
1483,20.755043365061283,40.00676493346691,False,22/04/2022 23:54:52
1484,20.3905343785882,43.79903335124254,False,22/04/2022 23:54:58
1485,20.493027456104755,40.11704359203577,False,22/04/2022 23:55:04
1486,21.50807150453329,39.080753929913044,False,22/04/2022 23:55:10
1487,20.948323264718056,40.31496898829937,False,22/04/2022 23:55:17
1488,19.017292499542236,38.71102264523506,False,22/04/2022 23:55:23
1489,20.818192560225725,44.9291927292943,False,22/04/2022 23:55:29
1490,19.48767687380314,42.05674636363983,False,22/04/2022 23:55:35
1491,21.932292949408293,42.45262670516968,False,22/04/2022 23:55:41
1492,22.325296491384506,38.17569037526846,False,22/04/2022 23:55:47
